"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mh_cg_ibqr_beh_008,mh_cg_ibqr,,radio,"When your baby was approached by an unfamiliar person when you and the baby were out (for example, shopping), how often did the baby cry?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_009,mh_cg_ibqr,,radio,"When an unfamiliar person came to your home or apartment, how often did your baby allow themself to be picked up without protest?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_010,mh_cg_ibqr,,radio,"When an unfamiliar person came to your home or apartment, how often did your baby cry when the visitor attempted to pick your baby up?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_mapdb_i_inf_lang,mh_cg_mapdb_i_inf,,radio,Language,"en, English|es, Spanish",,,,,,,y,,,,," @HIDDEN @LANGUAGE-CURRENT-SURVEY"
mh_cg_mapdb_i_inf_dtt,mh_cg_mapdb_i_inf,,text,"Start time",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW"
mh_cg_mapdb_i_inf_timestamp_start,mh_cg_mapdb_i_inf,,text,"Start time (server)",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW-SERVER"
mh_cg_mapdb_i_inf_location,mh_cg_mapdb_i_inf,,dropdown,"Remote or on-site?","1, Remote|2, On-site",,,,,,,y,,,,," @IF([event-name][visit_start_complete] != 2, @DEFAULT='1', @DEFAULT='2') @HIDDEN"
mh_cg_mapdb_i_inf_instr001,mh_cg_mapdb_i_inf,,descriptive,"Now we are interested in learning about your baby's behavior and feelings when angry, upset or frustrated. Please answer the following questions about the past month with your baby. You may notice that more than one question asks about similar behaviors or feelings. This is because babies may express the same thing in different ways. Thank you for responding to each item to provide us with a detailed picture of how your baby manages behavior and feelings.",,,,,,,,,,,,,
mh_cg_mapdb_i_inf_001,mh_cg_mapdb_i_inf,"OVER THE PAST MONTH, HOW OFTEN DID YOUR BABY",radio,"Stay fussy for a long time?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m01,,
mh_cg_mapdb_i_inf_002,mh_cg_mapdb_i_inf,,radio,"Cry inconsolably when frustrated, angry, or upset?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m01,,
mh_cg_mapdb_i_inf_003,mh_cg_mapdb_i_inf,,radio,"Cry inconsolably during daily routines, such as bedtime, mealtime, or diaper changes?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m01,,
mh_cg_mapdb_i_inf_004,mh_cg_mapdb_i_inf,,radio,"Rapidly go from calm to crying inconsolably?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m01,,
mh_cg_mapdb_i_inf_005,mh_cg_mapdb_i_inf,,radio,"Cry inconsolably when tired, hungry, or sick?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m01,,
mh_cg_mapdb_i_inf_006,mh_cg_mapdb_i_inf,,radio,"Have trouble cheering up when fussy?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m01,,
mh_cg_mapdb_i_inf_007,mh_cg_mapdb_i_inf,"OVER THE PAST MONTH, HOW OFTEN DID YOUR BABY",radio,"Cry inconsolably when your baby was with other adults (e.g., babysitter, childcare provider, teacher, family member)?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m02,,
mh_cg_mapdb_i_inf_008,mh_cg_mapdb_i_inf,,radio,"Wake up fussy?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m02,,
mh_cg_mapdb_i_inf_009,mh_cg_mapdb_i_inf,,radio,"Hold breath when crying?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m02,,
mh_cg_mapdb_i_inf_010,mh_cg_mapdb_i_inf,,radio,"Become easily frustrated?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m02,,
mh_cg_mapdb_i_inf_011,mh_cg_mapdb_i_inf,,radio,"Cry inconsolably?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m02,,
mh_cg_mapdb_i_inf_012,mh_cg_mapdb_i_inf,,radio,"Cry for a long time no matter what you do?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m02,,
mh_cg_mapdb_i_inf_013,mh_cg_mapdb_i_inf,"OVER THE PAST MONTH, HOW OFTEN DID YOUR BABY",radio,"Cry inconsolably when you were out in public?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m03,,
mh_cg_mapdb_i_inf_014,mh_cg_mapdb_i_inf,,radio,"Fuss when you were playing with your baby?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m03,,
mh_cg_mapdb_i_inf_015,mh_cg_mapdb_i_inf,,radio,"Cry until your baby was exhausted?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m03,,
mh_cg_mapdb_i_inf_016,mh_cg_mapdb_i_inf,,radio,"Cry inconsolably when your baby was with you or other parent?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m03,,
mh_cg_mapdb_i_inf_017,mh_cg_mapdb_i_inf,,radio,"Scream loudly when crying?","1, Never|2, Rarely (Less than once per week)|3, Some (1-3) days of the week|4, Most (4-6) days of the week|5, Every day of the week|6, Many times each day|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_mapdb_i_inf_m03,,
pex_bm_assistv3_lang,pex_bm_assistv3,,radio,Language,"en, English|es, Spanish",,,,,,,y,,,,," @HIDDEN @LANGUAGE-CURRENT-SURVEY"
pex_bm_assistv3_dtt,pex_bm_assistv3,,text,"Start time",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW"
pex_bm_assistv3_timestamp_start,pex_bm_assistv3,,text,"Start time (server)",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW-SERVER"
pex_bm_assistv3_location,pex_bm_assistv3,,dropdown,"Remote or on-site?","1, Remote|2, On-site",,,,,,,y,,,,," @IF([event-name][visit_start_complete] != 2, @DEFAULT='1', @DEFAULT='2') @HIDDEN"
pex_bm_assistv3_instr29,pex_bm_assistv3,,descriptive,"<div> <h6><span style=""color:blue; font-weight: bold;""><em>IN THE PAST THREE MONTHS, how often have you used any of the following substances for any reason?</em></span></h6> </div>",,,,,,,,,,,,,
pex_bm_assistv3_3m_i_use_001,pex_bm_assistv3,,radio,"Nicotine or tobacco products (cigarettes, e-cigarettes, chewing tobacco, cigars, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_002,pex_bm_assistv3,,radio,"Alcoholic beverages (beer, wine, spirits, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_003,pex_bm_assistv3,,radio,"Cannabis (marijuana, weed, pot, hash, wax, blunts, dabs, gummies, vapes, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_004,pex_bm_assistv3,,radio,"Cannabidiol (CBD; not containing THC)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_005,pex_bm_assistv3,,radio,"Synthetic cannabinoids (K2, spice, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_006,pex_bm_assistv3,,radio,"Prescription opioids (oxycodone, morphine, codeine, fentanyl, tramadol, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_007,pex_bm_assistv3,,radio,"Heroin or other illicit opioids (e.g. illicit fentanyl, etc) ","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_008,pex_bm_assistv3,,radio,Methadone,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_009,pex_bm_assistv3,,radio,Buprenorphine,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_010,pex_bm_assistv3,,radio,"Benzodiazepines, sedatives, or sleeping pills (Valium, Xanax, Ambien, barbiturates, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_011,pex_bm_assistv3,,radio,"Cocaine (coke, crack, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_012,pex_bm_assistv3,,radio,"Amphetamine type stimulants (speed, Adderall, diet pills, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_013,pex_bm_assistv3,,radio,"Methamphetamine (meth, crystal meth, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_014,pex_bm_assistv3,,radio,"Inhalants (nitrous, glue, petrol, paint thinner, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_015,pex_bm_assistv3,,radio,"Hallucinogens or club drugs (LSD, acid, mushrooms, psilocybin, MDMA, molly, ecstasy, Special K, GHB, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_016,pex_bm_assistv3,,radio,"Androgenic anabolic steroids (for performance enhancement)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_017,pex_bm_assistv3,,radio,"Phencyclidine (PCP)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_018,pex_bm_assistv3,,radio,Kratom,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_3m_i_use_019,pex_bm_assistv3,,radio,Xylazine,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv3_3m_i_use_m01,,
pex_bm_assistv3_instr30,pex_bm_assistv3,,descriptive,"<div> <h6><span style=""color:blue; font-weight: bold;""><em>DURING THE PAST THREE MONTHS, has your use of this substance led to physical or mental health, social,or financial problems?</em></span></h6> </div>",,,,,,,"sum([pex_bm_assistv3_3m_i_use_001], [pex_bm_assistv3_3m_i_use_002], [pex_bm_assistv3_3m_i_use_003], [pex_bm_assistv3_3m_i_use_004], [pex_bm_assistv3_3m_i_use_005], [pex_bm_assistv3_3m_i_use_006], [pex_bm_assistv3_3m_i_use_007], [pex_bm_assistv3_3m_i_use_008], [pex_bm_assistv3_3m_i_use_009], [pex_bm_assistv3_3m_i_use_010], [pex_bm_assistv3_3m_i_use_011], [pex_bm_assistv3_3m_i_use_012], [pex_bm_assistv3_3m_i_use_013], [pex_bm_assistv3_3m_i_use_014], [pex_bm_assistv3_3m_i_use_015], [pex_bm_assistv3_3m_i_use_016], [pex_bm_assistv3_3m_i_use_017], [pex_bm_assistv3_3m_i_use_018], [pex_bm_assistv3_3m_i_use_019]) > 0
AND
sum([pex_bm_assistv3_3m_i_use_001], [pex_bm_assistv3_3m_i_use_002], [pex_bm_assistv3_3m_i_use_003], [pex_bm_assistv3_3m_i_use_004], [pex_bm_assistv3_3m_i_use_005], [pex_bm_assistv3_3m_i_use_006], [pex_bm_assistv3_3m_i_use_007], [pex_bm_assistv3_3m_i_use_008], [pex_bm_assistv3_3m_i_use_009], [pex_bm_assistv3_3m_i_use_010], [pex_bm_assistv3_3m_i_use_011], [pex_bm_assistv3_3m_i_use_012], [pex_bm_assistv3_3m_i_use_013], [pex_bm_assistv3_3m_i_use_014], [pex_bm_assistv3_3m_i_use_015], [pex_bm_assistv3_3m_i_use_016], [pex_bm_assistv3_3m_i_use_017], [pex_bm_assistv3_3m_i_use_018], [pex_bm_assistv3_3m_i_use_019]) < 777",,,,,,
pex_bm_assistv3_3m_i_problem_001,pex_bm_assistv3,,radio,"Nicotine or tobacco products (cigarettes, e-cigarettes, chewing tobacco, cigars, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_001] = '1' OR [pex_bm_assistv3_3m_i_use_001] = '2' OR [pex_bm_assistv3_3m_i_use_001] = '3' OR [pex_bm_assistv3_3m_i_use_001] = '4')",y,,,pex_bm_assistv3_3m_i_problem_m01,,
